        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
          69	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.2817e-02	  1.2817e-02	      0.0000	      0.0000	     -0.0000	     -0.0000	
          70	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.3317e-02	  1.3317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          71	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.3817e-02	  1.3817e-02	      0.0000	      0.0000	     -0.0000	      0.0000	
          72	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.4317e-02	  1.4317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          73	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.4817e-02	  1.4817e-02	      0.0000	      0.0000	     -0.0000	     -0.0000	
          74	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.5317e-02	  1.5317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          75	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.5817e-02	  1.5817e-02	      0.0000	      0.0000	     -0.0000	     -0.0000	
          76	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.6317e-02	  1.6317e-02	      0.0000	      0.0000	      0.0000	     -0.0000	
          77	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.6817e-02	  1.6817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          78	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.7317e-02	  1.7317e-02	      0.0000	      0.0000	     -0.0000	      0.0000	
          79	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.7817e-02	  1.7817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          80	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.8317e-02	  1.8317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          81	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.8817e-02	  1.8817e-02	      0.0000	      0.0000	     -0.0000	     -0.0000	
          82	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.9317e-02	  1.9317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          83	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.9817e-02	  1.9817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          84	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.0317e-02	  2.0317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          85	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.0817e-02	  2.0817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          86	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.1317e-02	  2.1317e-02	      0.0000	      0.0000	     -0.0000	      0.0000	
          87	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.1817e-02	  2.1817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          88	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.2317e-02	  2.2317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          89	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.2817e-02	  2.2817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          90	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.3317e-02	  2.3317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          91	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.3817e-02	  2.3817e-02	      0.0000	      0.0000	     -0.0000	      0.0000	
          92	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.4317e-02	  2.4317e-02	      0.0000	      0.0000	     -0.0000	     -0.0000	
          93	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.4817e-02	  2.4817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          94	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.5317e-02	  2.5317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          95	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.5817e-02	  2.5817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          96	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.6317e-02	  2.6317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          97	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.6817e-02	  2.6817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          98	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.7317e-02	  2.7317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          99	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.7817e-02	  2.7817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
         100	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  2.8317e-02	  2.8317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
