        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
          17	     3.27439	     10.4098	  8.4987e-03	  2.7154e-02	  9.8806e-03	  7.4368e-03	  9.1310e-04	  1.3440e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.1007	     -0.2430	     -0.2286	     -1.9055	
          18	     3.41639	     10.2141	  8.9987e-03	  2.7154e-02	  9.6434e-03	  7.4368e-03	  9.1310e-04	  1.3446e-05	  0.0000e+00	  0.0000e+00	  2.3720e-04	  2.3720e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.7936	     -0.2161	      0.0000	     -1.4840	
          19	     3.53075	      9.8724	  9.4987e-03	  2.7154e-02	  9.3306e-03	  7.4368e-03	  9.1311e-04	  1.3453e-05	  0.0000e+00	  0.0000e+00	  5.5011e-04	  5.5011e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.5427	     -0.1912	      0.0000	     -1.1443	
          20	     3.85006	     8.91577	  9.9987e-03	  2.7154e-02	  9.0550e-03	  7.4369e-03	  9.1311e-04	  1.3488e-05	  0.0000e+00	  0.0000e+00	  8.2581e-04	  8.2581e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.8832	     -0.1674	      0.0000	     -0.1908	
          21	      3.9211	     8.70433	  1.0499e-02	  2.7154e-02	  9.0364e-03	  7.1324e-03	  9.1312e-04	  1.3499e-05	  0.0000e+00	  0.0000e+00	  8.4445e-04	  8.4445e-04	  3.0456e-04	  3.0456e-04	  0.0000e+00	  0.0000e+00	     -7.7216	     -0.1445	      0.0000	     -0.0000	
          22	     3.92924	      8.6816	  1.0999e-02	  2.7155e-02	  9.0349e-03	  6.8009e-03	  9.1312e-04	  1.3499e-05	  0.0000e+00	  0.0000e+00	  8.4606e-04	  8.4606e-04	  6.3613e-04	  6.3613e-04	  0.0000e+00	  0.0000e+00	     -7.6868	     -0.1228	      0.0000	      0.0000	
          23	     3.93771	     8.65785	  1.1499e-02	  2.7155e-02	  9.0334e-03	  6.4695e-03	  9.1313e-04	  1.3500e-05	  0.0000e+00	  0.0000e+00	  8.4768e-04	  8.4768e-04	  9.6765e-04	  9.6765e-04	  0.0000e+00	  0.0000e+00	     -7.6522	     -0.1019	      0.0000	      0.0000	
          24	     3.94656	     8.63298	  1.1999e-02	  2.7155e-02	  9.0318e-03	  6.1381e-03	  9.1314e-04	  1.3501e-05	  0.0000e+00	  0.0000e+00	  8.4932e-04	  8.4932e-04	  1.2991e-03	  1.2991e-03	  0.0000e+00	  0.0000e+00	     -7.6177	     -0.0819	      0.0000	      0.0000	
          25	     3.95581	     8.60686	  1.2499e-02	  2.7155e-02	  9.0303e-03	  5.8068e-03	  9.1315e-04	  1.3501e-05	  0.0000e+00	  0.0000e+00	  8.5097e-04	  8.5097e-04	  1.6306e-03	  1.6306e-03	  0.0000e+00	  0.0000e+00	     -7.5831	     -0.0627	      0.0000	      0.0000	
          26	     3.96554	     8.57933	  1.2999e-02	  2.7156e-02	  9.0287e-03	  5.4755e-03	  9.1316e-04	  1.3502e-05	  0.0000e+00	  0.0000e+00	  8.5265e-04	  8.5265e-04	  1.9619e-03	  1.9619e-03	  0.0000e+00	  0.0000e+00	     -7.5483	     -0.0441	      0.0000	      0.0000	
